fit_date,regime,hypothesis,weight
2024-01-01,bull,macro_equities,0.34809977552077614
2024-01-01,bull,cme,0.34221308258637745
2024-01-01,bull,crypto_derivatives,0.3025760168280929
2024-01-01,bull,classic_cycle,0.007111125064753623
2024-01-01,bull,etf_flows,0.0
2024-01-01,neutral,macro_equities,0.49721400197285986
2024-01-01,neutral,cme,0.1586285958036737
2024-01-01,neutral,crypto_derivatives,0.33192033911861163
2024-01-01,neutral,classic_cycle,0.012237063104854836
2024-01-01,neutral,etf_flows,0.0
2024-01-01,bear,macro_equities,0.1567992443409911
2024-01-01,bear,cme,0.6068886415005229
2024-01-01,bear,crypto_derivatives,0.05262625240360285
2024-01-01,bear,classic_cycle,0.18368586175488316
2024-01-01,bear,etf_flows,0.0
2024-02-01,bull,macro_equities,0.3461307164529973
2024-02-01,bull,cme,0.34100538501489763
2024-02-01,bull,crypto_derivatives,0.30581144247327996
2024-02-01,bull,classic_cycle,0.007052456058825139
2024-02-01,bull,etf_flows,0.0
2024-02-01,neutral,macro_equities,0.4915953060577228
2024-02-01,neutral,cme,0.15735929151723635
2024-02-01,neutral,crypto_derivatives,0.3391153724169899
2024-02-01,neutral,classic_cycle,0.011930030008050941
2024-02-01,neutral,etf_flows,0.0
2024-02-01,bear,macro_equities,0.1567992443409911
2024-02-01,bear,cme,0.6068886415005229
2024-02-01,bear,crypto_derivatives,0.05262625240360285
2024-02-01,bear,classic_cycle,0.18368586175488316
2024-02-01,bear,etf_flows,0.0
2024-03-01,bull,macro_equities,0.344954327444506
2024-03-01,bull,cme,0.3404352751199055
2024-03-01,bull,crypto_derivatives,0.3075968282278085
2024-03-01,bull,classic_cycle,0.007013569207780001
2024-03-01,bull,etf_flows,0.0
2024-03-01,neutral,macro_equities,0.49176525168174445
2024-03-01,neutral,cme,0.15773602412433305
2024-03-01,neutral,crypto_derivatives,0.3386685223845975
2024-03-01,neutral,classic_cycle,0.011830201809324982
2024-03-01,neutral,etf_flows,0.0
2024-03-01,bear,macro_equities,0.1567992443409911
2024-03-01,bear,cme,0.6068886415005229
2024-03-01,bear,crypto_derivatives,0.05262625240360285
2024-03-01,bear,classic_cycle,0.18368586175488316
2024-03-01,bear,etf_flows,0.0
2024-04-01,bull,macro_equities,0.3437493363912425
2024-04-01,bull,cme,0.3397676838461702
2024-04-01,bull,crypto_derivatives,0.3095071245036206
2024-04-01,bull,classic_cycle,0.006975855258966682
2024-04-01,bull,etf_flows,0.0
2024-04-01,neutral,macro_equities,0.488635358627399
2024-04-01,neutral,cme,0.15698240028301044
2024-04-01,neutral,crypto_derivatives,0.3427080569558681
2024-04-01,neutral,classic_cycle,0.011674184133722473
2024-04-01,neutral,etf_flows,0.0
2024-04-01,bear,macro_equities,0.1567992443409911
2024-04-01,bear,cme,0.6068886415005229
2024-04-01,bear,crypto_derivatives,0.05262625240360285
2024-04-01,bear,classic_cycle,0.18368586175488316
2024-04-01,bear,etf_flows,0.0
2024-05-01,bull,macro_equities,0.3430163740382718
2024-05-01,bull,cme,0.33931741960939044
2024-05-01,bull,crypto_derivatives,0.3107121720260407
2024-05-01,bull,classic_cycle,0.0069540343262971
2024-05-01,bull,etf_flows,0.0
2024-05-01,neutral,macro_equities,0.48819850716158963
2024-05-01,neutral,cme,0.15735323784547103
2024-05-01,neutral,crypto_derivatives,0.342949364535001
2024-05-01,neutral,classic_cycle,0.011498890457938268
2024-05-01,neutral,etf_flows,0.0
2024-05-01,bear,macro_equities,0.1567992443409911
2024-05-01,bear,cme,0.6068886415005229
2024-05-01,bear,crypto_derivatives,0.05262625240360285
2024-05-01,bear,classic_cycle,0.18368586175488316
2024-05-01,bear,etf_flows,0.0
2024-06-01,bull,macro_equities,0.3401534526854219
2024-06-01,bull,cme,0.33666589165310395
2024-06-01,bull,crypto_derivatives,0.3048128342245989
2024-06-01,bull,classic_cycle,0.01836782143687511
2024-06-01,bull,etf_flows,0.0
2024-06-01,neutral,macro_equities,0.49699597626178177
2024-06-01,neutral,cme,0.16076579638782218
2024-06-01,neutral,crypto_derivatives,0.3307182097120915
2024-06-01,neutral,classic_cycle,0.011520017638304519
2024-06-01,neutral,etf_flows,0.0
2024-06-01,bear,macro_equities,0.1567992443409911
2024-06-01,bear,cme,0.6068886415005229
2024-06-01,bear,crypto_derivatives,0.05262625240360285
2024-06-01,bear,classic_cycle,0.18368586175488316
2024-06-01,bear,etf_flows,0.0
2024-07-01,bull,macro_equities,0.2740637734224305
2024-07-01,bull,cme,0.27010736406174574
2024-07-01,bull,crypto_derivatives,0.24043429385661044
2024-07-01,bull,classic_cycle,0.005764818139297681
2024-07-01,bull,etf_flows,0.20962975051991567
2024-07-01,neutral,macro_equities,0.4964839746987526
2024-07-01,neutral,cme,0.16078306653945365
2024-07-01,neutral,crypto_derivatives,0.3312837909466766
2024-07-01,neutral,classic_cycle,0.011449167815117144
2024-07-01,neutral,etf_flows,0.0
2024-07-01,bear,macro_equities,0.1567992443409911
2024-07-01,bear,cme,0.6068886415005229
2024-07-01,bear,crypto_derivatives,0.05262625240360285
2024-07-01,bear,classic_cycle,0.18368586175488316
2024-07-01,bear,etf_flows,0.0
2024-08-01,bull,macro_equities,0.2740637734224305
2024-08-01,bull,cme,0.27010736406174574
2024-08-01,bull,crypto_derivatives,0.24043429385661044
2024-08-01,bull,classic_cycle,0.005764818139297681
2024-08-01,bull,etf_flows,0.20962975051991567
2024-08-01,neutral,macro_equities,0.14971544468366202
2024-08-01,neutral,cme,0.23369045372097255
2024-08-01,neutral,crypto_derivatives,0.17802701915909833
2024-08-01,neutral,classic_cycle,0.012773798517561172
2024-08-01,neutral,etf_flows,0.4257932839187059
2024-08-01,bear,macro_equities,0.1567992443409911
2024-08-01,bear,cme,0.6068886415005229
2024-08-01,bear,crypto_derivatives,0.05262625240360285
2024-08-01,bear,classic_cycle,0.18368586175488316
2024-08-01,bear,etf_flows,0.0
2024-09-01,bull,macro_equities,0.2740637734224305
2024-09-01,bull,cme,0.27010736406174574
2024-09-01,bull,crypto_derivatives,0.24043429385661044
2024-09-01,bull,classic_cycle,0.005764818139297681
2024-09-01,bull,etf_flows,0.20962975051991567
2024-09-01,neutral,macro_equities,0.18359965138300952
2024-09-01,neutral,cme,0.18874129856293054
2024-09-01,neutral,crypto_derivatives,0.17631565121145482
2024-09-01,neutral,classic_cycle,0.012866972067752102
2024-09-01,neutral,etf_flows,0.43847642677485305
2024-09-01,bear,macro_equities,0.1567992443409911
2024-09-01,bear,cme,0.6068886415005229
2024-09-01,bear,crypto_derivatives,0.05262625240360285
2024-09-01,bear,classic_cycle,0.18368586175488316
2024-09-01,bear,etf_flows,0.0
2024-10-01,bull,macro_equities,0.2740637734224305
2024-10-01,bull,cme,0.27010736406174574
2024-10-01,bull,crypto_derivatives,0.24043429385661044
2024-10-01,bull,classic_cycle,0.005764818139297681
2024-10-01,bull,etf_flows,0.20962975051991567
2024-10-01,neutral,macro_equities,0.20959046585340876
2024-10-01,neutral,cme,0.18219301933662327
2024-10-01,neutral,crypto_derivatives,0.16262341468177666
2024-10-01,neutral,classic_cycle,0.013045098462920854
2024-10-01,neutral,etf_flows,0.43254800166527047
2024-10-01,bear,macro_equities,0.1567992443409911
2024-10-01,bear,cme,0.6068886415005229
2024-10-01,bear,crypto_derivatives,0.05262625240360285
2024-10-01,bear,classic_cycle,0.18368586175488316
2024-10-01,bear,etf_flows,0.0
2024-11-01,bull,macro_equities,0.2750676469294566
2024-11-01,bull,cme,0.27115789062130913
2024-11-01,bull,crypto_derivatives,0.2415089052845244
2024-11-01,bull,classic_cycle,0.005781552140673032
2024-11-01,bull,etf_flows,0.20648400502403688
2024-11-01,neutral,macro_equities,0.19588655781154696
2024-11-01,neutral,cme,0.20571599082001168
2024-11-01,neutral,crypto_derivatives,0.16990877057489015
2024-11-01,neutral,classic_cycle,0.012743157793116763
2024-11-01,neutral,etf_flows,0.41574552300043444
2024-11-01,bear,macro_equities,0.1567992443409911
2024-11-01,bear,cme,0.6068886415005229
2024-11-01,bear,crypto_derivatives,0.05262625240360285
2024-11-01,bear,classic_cycle,0.18368586175488316
2024-11-01,bear,etf_flows,0.0
2024-12-01,bull,macro_equities,0.28424568123133387
2024-12-01,bull,cme,0.2806237559063793
2024-12-01,bull,crypto_derivatives,0.2489319093130264
2024-12-01,bull,classic_cycle,0.013808590301389513
2024-12-01,bull,etf_flows,0.17239006324787098
2024-12-01,neutral,macro_equities,0.19588655781154696
2024-12-01,neutral,cme,0.20571599082001168
2024-12-01,neutral,crypto_derivatives,0.16990877057489015
2024-12-01,neutral,classic_cycle,0.012743157793116763
2024-12-01,neutral,etf_flows,0.41574552300043444
2024-12-01,bear,macro_equities,0.1567992443409911
2024-12-01,bear,cme,0.6068886415005229
2024-12-01,bear,crypto_derivatives,0.05262625240360285
2024-12-01,bear,classic_cycle,0.18368586175488316
2024-12-01,bear,etf_flows,0.0
2025-01-01,bull,macro_equities,0.28020657329012283
2025-01-01,bull,cme,0.27698117388534443
2025-01-01,bull,crypto_derivatives,0.24607109625621817
2025-01-01,bull,classic_cycle,0.02970055285233437
2025-01-01,bull,etf_flows,0.16704060371598017
2025-01-01,neutral,macro_equities,0.19588655781154696
2025-01-01,neutral,cme,0.20571599082001168
2025-01-01,neutral,crypto_derivatives,0.16990877057489015
2025-01-01,neutral,classic_cycle,0.012743157793116763
2025-01-01,neutral,etf_flows,0.41574552300043444
2025-01-01,bear,macro_equities,0.1567992443409911
2025-01-01,bear,cme,0.6068886415005229
2025-01-01,bear,crypto_derivatives,0.05262625240360285
2025-01-01,bear,classic_cycle,0.18368586175488316
2025-01-01,bear,etf_flows,0.0
2025-02-01,bull,macro_equities,0.2817748147494506
2025-02-01,bull,cme,0.27881719587606907
2025-02-01,bull,crypto_derivatives,0.23876610696569453
2025-02-01,bull,classic_cycle,0.030993381110643755
2025-02-01,bull,etf_flows,0.16964850129814213
2025-02-01,neutral,macro_equities,0.19588655781154696
2025-02-01,neutral,cme,0.20571599082001168
2025-02-01,neutral,crypto_derivatives,0.16990877057489015
2025-02-01,neutral,classic_cycle,0.012743157793116763
2025-02-01,neutral,etf_flows,0.41574552300043444
2025-02-01,bear,macro_equities,0.1567992443409911
2025-02-01,bear,cme,0.6068886415005229
2025-02-01,bear,crypto_derivatives,0.05262625240360285
2025-02-01,bear,classic_cycle,0.18368586175488316
2025-02-01,bear,etf_flows,0.0
2025-03-01,bull,macro_equities,0.34102059073921764
2025-03-01,bull,cme,0.3000447311083214
2025-03-01,bull,crypto_derivatives,0.29510627245573795
2025-03-01,bull,classic_cycle,0.034435738712609805
2025-03-01,bull,etf_flows,0.029392666984113264
2025-03-01,neutral,macro_equities,0.19390116648104166
2025-03-01,neutral,cme,0.21052126646513108
2025-03-01,neutral,crypto_derivatives,0.17174103316892272
2025-03-01,neutral,classic_cycle,0.012721301529488348
2025-03-01,neutral,etf_flows,0.4111152323554162
2025-03-01,bear,macro_equities,0.1567992443409911
2025-03-01,bear,cme,0.6068886415005229
2025-03-01,bear,crypto_derivatives,0.05262625240360285
2025-03-01,bear,classic_cycle,0.18368586175488316
2025-03-01,bear,etf_flows,0.0
2025-04-01,bull,macro_equities,0.34102059073921764
2025-04-01,bull,cme,0.3000447311083214
2025-04-01,bull,crypto_derivatives,0.29510627245573795
2025-04-01,bull,classic_cycle,0.034435738712609805
2025-04-01,bull,etf_flows,0.029392666984113264
2025-04-01,neutral,macro_equities,0.18162938268183143
2025-04-01,neutral,cme,0.23704689759900383
2025-04-01,neutral,crypto_derivatives,0.15970597018712585
2025-04-01,neutral,classic_cycle,0.012225347384200384
2025-04-01,neutral,etf_flows,0.4093924021478385
2025-04-01,bear,macro_equities,0.1567992443409911
2025-04-01,bear,cme,0.6068886415005229
2025-04-01,bear,crypto_derivatives,0.05262625240360285
2025-04-01,bear,classic_cycle,0.18368586175488316
2025-04-01,bear,etf_flows,0.0
2025-05-01,bull,macro_equities,0.34102059073921764
2025-05-01,bull,cme,0.3000447311083214
2025-05-01,bull,crypto_derivatives,0.29510627245573795
2025-05-01,bull,classic_cycle,0.034435738712609805
2025-05-01,bull,etf_flows,0.029392666984113264
2025-05-01,neutral,macro_equities,0.17499997657296165
2025-05-01,neutral,cme,0.2652409283479346
2025-05-01,neutral,crypto_derivatives,0.15504013988753143
2025-05-01,neutral,classic_cycle,0.012214857802562543
2025-05-01,neutral,etf_flows,0.39250409738900977
2025-05-01,bear,macro_equities,0.1567992443409911
2025-05-01,bear,cme,0.6068886415005229
2025-05-01,bear,crypto_derivatives,0.05262625240360285
2025-05-01,bear,classic_cycle,0.18368586175488316
2025-05-01,bear,etf_flows,0.0
2025-06-01,bull,macro_equities,0.3491779392884049
2025-06-01,bull,cme,0.3084982602165842
2025-06-01,bull,crypto_derivatives,0.2995153657843209
2025-06-01,bull,classic_cycle,0.02155894663743183
2025-06-01,bull,etf_flows,0.021249488073258122
2025-06-01,neutral,macro_equities,0.17454136171205412
2025-06-01,neutral,cme,0.2729293267535623
2025-06-01,neutral,crypto_derivatives,0.15564197859673612
2025-06-01,neutral,classic_cycle,0.012290157667049415
2025-06-01,neutral,etf_flows,0.38459717527059806
2025-06-01,bear,macro_equities,0.1567992443409911
2025-06-01,bear,cme,0.6068886415005229
2025-06-01,bear,crypto_derivatives,0.05262625240360285
2025-06-01,bear,classic_cycle,0.18368586175488316
2025-06-01,bear,etf_flows,0.0
2025-07-01,bull,macro_equities,0.3553765132529581
2025-07-01,bull,cme,0.31494299632356054
2025-07-01,bull,crypto_derivatives,0.296918416487564
2025-07-01,bull,classic_cycle,0.007536222974672053
2025-07-01,bull,etf_flows,0.025225850961245345
2025-07-01,neutral,macro_equities,0.17454136171205412
2025-07-01,neutral,cme,0.2729293267535623
2025-07-01,neutral,crypto_derivatives,0.15564197859673612
2025-07-01,neutral,classic_cycle,0.012290157667049415
2025-07-01,neutral,etf_flows,0.38459717527059806
2025-07-01,bear,macro_equities,0.1567992443409911
2025-07-01,bear,cme,0.6068886415005229
2025-07-01,bear,crypto_derivatives,0.05262625240360285
2025-07-01,bear,classic_cycle,0.18368586175488316
2025-07-01,bear,etf_flows,0.0
2025-08-01,bull,macro_equities,0.3604617728523801
2025-08-01,bull,cme,0.320051260200768
2025-08-01,bull,crypto_derivatives,0.29626678704010484
2025-08-01,bull,classic_cycle,0.007645668993685013
2025-08-01,bull,etf_flows,0.015574510913062065
2025-08-01,neutral,macro_equities,0.17454136171205412
2025-08-01,neutral,cme,0.2729293267535623
2025-08-01,neutral,crypto_derivatives,0.15564197859673612
2025-08-01,neutral,classic_cycle,0.012290157667049415
2025-08-01,neutral,etf_flows,0.38459717527059806
2025-08-01,bear,macro_equities,0.1567992443409911
2025-08-01,bear,cme,0.6068886415005229
2025-08-01,bear,crypto_derivatives,0.05262625240360285
2025-08-01,bear,classic_cycle,0.18368586175488316
2025-08-01,bear,etf_flows,0.0
